timestamp,payload.humidity,payload.temperature,payload.pressure,payload.rainAnalog,payload.rainDigital
2022-04-05T00:05:54.061Z,77,23.799999,91721,4095,1
2022-04-05T00:15:55.303Z,77,23.799999,91739,4095,1
2022-04-05T00:25:57.741Z,77,23.799999,91756,4095,1
2022-04-05T00:36:32.403Z,78,23.799999,91765,4095,1
2022-04-05T00:46:44.455Z,78,24.1,91776,4095,1
2022-04-05T00:56:46.107Z,77,24.1,91784,4095,1
2022-04-05T01:06:46.117Z,76,24.799999,91783,4095,1
2022-04-05T01:16:47.684Z,76,24.799999,91800,4095,1
2022-04-05T01:36:52.134Z,73,25.799999,91817,4095,1
2022-04-05T01:57:06.614Z,73,25.799999,91805,4095,1
2022-04-05T02:37:08.202Z,72,26.299999,91779,4095,1
2022-04-05T02:47:10.914Z,71,27.1,91776,4095,1
2022-04-05T02:57:10.899Z,70,27.1,91762,4095,1
2022-04-05T03:07:10.881Z,71,27.200001,91754,4095,1
2022-04-05T03:17:10.891Z,70,27.1,91736,4095,1
2022-04-05T03:27:10.870Z,69,27.6,91725,4095,1
2022-04-05T03:37:10.830Z,67,28,91715,4095,1
2022-04-05T03:47:10.810Z,63,28,91688,4095,1
2022-04-05T03:57:10.795Z,64,28.5,91665,4095,1
2022-04-05T04:07:10.845Z,64,28.5,91655,4095,1
2022-04-05T04:27:22.300Z,64,28.9,91604,4095,1
2022-04-05T04:37:22.284Z,63,28.9,91586,4095,1
2022-04-05T04:47:22.263Z,63,28.9,91565,4095,1
2022-04-05T04:57:22.248Z,64,28.9,91559,4095,1
2022-04-05T05:07:22.229Z,65,29.299999,91528,4095,1
2022-04-05T05:17:22.217Z,62,29.799999,91519,4095,1
2022-04-05T05:27:22.197Z,62,29.799999,91493,4095,1
2022-04-05T05:37:22.182Z,65,29.299999,91465,4095,1
2022-04-05T05:47:22.164Z,68,28.9,91480,4095,1
2022-04-05T05:57:23.563Z,70,28,91497,3393,0
2022-04-05T06:07:22.128Z,78,25.799999,91477,2391,0
2022-04-05T06:17:22.110Z,79,25.299999,91490,2489,0
2022-04-05T06:27:22.101Z,79,25.299999,91451,2559,0
2022-04-05T06:37:22.072Z,78,24.799999,91474,3248,0
2022-04-05T06:47:22.054Z,81,24.5,91502,2624,0
2022-04-05T06:57:22.036Z,81,23.799999,91512,2110,0
2022-04-05T07:07:22.017Z,83,24.1,91475,2242,0
2022-04-05T07:17:21.999Z,82,24.1,91478,2093,0
2022-04-05T07:27:21.991Z,81,24.5,91448,4095,1
2022-04-05T07:37:21.976Z,81,24.5,91432,4095,1
2022-04-05T07:47:21.961Z,80,24.799999,91438,4095,1
2022-04-05T07:57:21.944Z,79,24.5,91465,4095,1
2022-04-05T08:07:21.926Z,78,24.700001,91465,4095,1
2022-04-05T08:17:21.906Z,78,24.5,91455,4095,1
2022-04-05T08:27:23.139Z,79,24.5,91464,4095,1
2022-04-05T08:37:23.120Z,79,24.1,91465,2657,0
2022-04-05T08:47:23.102Z,80,24.1,91460,2263,0
2022-04-05T08:57:23.085Z,81,24.1,91482,2399,0
2022-04-05T09:07:23.066Z,81,24.1,91485,2345,0
2022-04-05T09:17:23.049Z,81,24.1,91479,2335,0
2022-04-05T09:27:23.041Z,82,24.1,91479,2416,0
2022-04-05T09:37:23.018Z,81,24.1,91479,2736,0
2022-04-05T09:47:22.998Z,82,24.1,91487,2885,0
2022-04-05T09:57:22.978Z,83,24.1,91495,2645,0
2022-04-05T10:07:22.976Z,84,23.799999,91518,2271,0
2022-04-05T10:27:25.035Z,84,24.1,91539,2500,0
2022-04-05T10:37:25.020Z,84,23.799999,91550,2901,0
2022-04-05T10:47:25.002Z,85,23.799999,91565,3150,0
2022-04-05T10:57:24.985Z,84,23.799999,91574,3152,0
2022-04-05T11:07:24.964Z,84,23.799999,91590,2469,0
2022-04-05T11:17:24.946Z,84,23.799999,91607,2263,0
2022-04-05T11:27:24.928Z,83,23.799999,91625,2320,0
2022-04-05T11:37:24.909Z,83,23.799999,91629,2103,0
2022-04-05T11:47:24.898Z,85,23.799999,91660,2851,0
2022-04-05T11:57:24.869Z,85,23.799999,91659,2177,0
2022-04-05T12:07:24.854Z,85,23.799999,91663,2426,0
2022-04-05T12:17:24.839Z,85,23.4,91680,2278,0
2022-04-05T12:57:25.199Z,83,24.1,91693,1701,0
2022-04-05T13:07:30.015Z,84,23.799999,91693,999,0
2022-04-05T13:17:29.995Z,83,24.1,91689,918,0
2022-04-05T13:27:29.977Z,82,24.1,91696,964,0
2022-04-05T13:37:29.958Z,82,24.1,91699,965,0
2022-04-05T13:47:29.940Z,82,23.799999,91693,1119,0
2022-04-05T13:57:29.922Z,82,23.799999,91705,1070,0
2022-04-05T14:07:29.905Z,82,23.799999,91707,962,0
2022-04-05T14:17:29.889Z,82,23.799999,91717,1467,0
2022-04-05T14:27:29.872Z,82,23.799999,91725,1213,0
2022-04-05T14:37:29.853Z,82,23.799999,91720,1274,0
2022-04-05T14:47:29.837Z,81,23.4,91729,1293,0
2022-04-05T14:57:29.819Z,81,23.4,91718,1254,0
2022-04-05T14:58:28.720Z,81,23.4,91706,932,0
2022-04-05T15:08:28.690Z,81,23.4,91723,1510,1
2022-04-05T15:18:28.670Z,81,23,91726,1507,1
2022-04-05T15:28:28.652Z,81,23.4,91747,1453,1
2022-04-05T16:08:29.301Z,81,23,91729,970,0
2022-04-05T16:18:29.284Z,81,23,91730,915,0
2022-04-05T16:28:29.270Z,80,23,91719,1087,0
2022-04-05T16:38:29.251Z,79,23.4,91692,926,0
2022-04-05T16:48:29.233Z,78,23,91683,882,0
2022-04-05T16:58:29.210Z,79,23,91669,932,0
2022-04-05T17:08:29.191Z,79,23,91674,1217,0
2022-04-05T17:18:29.175Z,80,23,91661,1135,1
2022-04-05T17:28:29.157Z,81,22.6,91645,942,0
2022-04-05T17:38:29.139Z,80,22.6,91646,1181,0
2022-04-05T17:48:29.118Z,81,23,91624,1104,0
2022-04-05T17:58:29.101Z,81,22.700001,91622,1048,0
2022-04-05T18:08:29.084Z,81,23,91623,1143,0
2022-04-05T18:18:29.064Z,81,23,91615,1226,0
2022-04-05T18:28:29.046Z,81,23,91598,1232,0
2022-04-05T18:38:29.030Z,81,23,91582,1149,0
2022-04-05T18:48:29.010Z,81,22.6,91582,1193,0
2022-04-05T18:58:28.994Z,80,23,91578,1221,0
2022-04-05T19:08:28.977Z,80,22.6,91568,1166,1
2022-04-05T19:18:28.961Z,81,22.6,91567,1295,1
2022-04-05T19:28:28.941Z,80,22.6,91554,1311,1
2022-04-05T19:38:28.922Z,80,22.6,91552,1303,1
2022-04-05T19:48:28.906Z,80,22.200001,91550,1383,1
2022-04-05T19:58:28.886Z,80,22.200001,91558,1169,1
2022-04-05T20:08:28.866Z,80,22.200001,91565,1547,1
2022-04-05T20:18:28.846Z,79,22.200001,91576,1259,1
2022-04-05T20:28:28.827Z,79,22.200001,91571,1287,1
2022-04-05T20:38:28.806Z,80,22.200001,91582,1283,1
2022-04-05T20:48:28.787Z,79,22.200001,91581,2544,1
2022-04-05T20:58:28.771Z,78,22.6,91574,2569,1
2022-04-05T21:08:28.750Z,78,22.6,91576,2255,1
2022-04-05T21:18:28.733Z,78,22.6,91574,4095,1
2022-04-05T21:28:28.716Z,78,22.6,91577,2322,1
2022-04-05T21:38:28.698Z,78,22.200001,91576,2710,1
2022-04-05T21:48:28.680Z,79,22.200001,91585,1682,1
2022-04-05T21:58:28.665Z,78,22.200001,91592,2239,1
2022-04-05T22:08:28.647Z,78,22.200001,91596,1111,1
2022-04-05T22:18:28.630Z,79,22.200001,91608,1344,1
2022-04-05T22:28:28.606Z,81,21.6,91606,1088,1
2022-04-05T22:38:28.586Z,81,21.4,91607,1392,1
2022-04-05T22:48:28.570Z,81,22.200001,91626,4095,1
2022-04-05T22:58:28.550Z,80,21.799999,91631,1371,1
2022-04-05T23:08:28.531Z,80,21.799999,91645,1283,1
2022-04-05T23:18:28.512Z,80,21.799999,91661,1317,1
2022-04-05T23:28:28.493Z,81,21.799999,91678,1529,1
2022-04-05T23:38:28.475Z,80,21.799999,91685,1535,1
2022-04-05T23:48:28.457Z,81,22.200001,91689,1438,1
2022-04-05T23:58:28.438Z,82,21.799999,91696,1321,1
